Manufacturer,Model,T_outside [°C],T_out [°C],EER,Group,Pdc [W],P_el [W],Pdc_n,P_el_c_n
Advantix S.p.A.,i-SHWAK V4 16,20,18,5.966,1.0,4207.455,705.2388535031847,0.28719829351535836,0.15597091367578966
DAIKIN Europe N.V.,EBLA11D(3)V3,35,7,3.26,1.0,11600.0,3558.282208588957,1.0,1.0
DAIKIN Europe N.V.,EBLA11D(3)V3,30,7,4.75,1.0,8800.0,1852.6315789473683,0.7586206896551724,0.5206533575317605
DAIKIN Europe N.V.,EBLA11D(3)V3,25,7,6.91,1.0,5700.0,824.8914616497829,0.49137931034482757,0.23182294525674932
DAIKIN Europe N.V.,EBLA11D(3)V3,20,7,8.45,1.0,5800.0,686.3905325443787,0.5,0.1928994082840237
DAIKIN Europe N.V.,EBLA11D(3)V3,35,18,3.9445999999999994,1.0,11930.599999999997,3024.539877300613,1.0284999999999997,0.8499999999999999
DAIKIN Europe N.V.,EBLA11D(3)V3,30,18,5.7475,1.0,8731.359999999999,1519.1578947368419,0.752703448275862,0.4269357531760435
DAIKIN Europe N.V.,EBLA11D(3)V3,25,18,8.292,1.0,5266.799999999999,635.1664254703328,0.45403448275862063,0.17850366784769697
DAIKIN Europe N.V.,EBLA11D(3)V3,20,18,8.027499999999998,1.0,3471.2999999999993,432.4260355029586,0.29924999999999996,0.12152662721893492
DAIKIN Europe N.V.,EBLA14D(3)V3,35,7,3.16,1.0,12800.0,4050.632911392405,1.0,1.0
DAIKIN Europe N.V.,EBLA14D(3)V3,30,7,4.57,1.0,9900.0,2166.3019693654264,0.7734375,0.5348057986870897
DAIKIN Europe N.V.,EBLA14D(3)V3,25,7,6.8,1.0,6200.0,911.7647058823528,0.484375,0.22509191176470586
DAIKIN Europe N.V.,EBLA14D(3)V3,20,7,8.42,1.0,5800.0,688.8361045130641,0.453125,0.1700564133016627
DAIKIN Europe N.V.,EBLA14D(3)V3,35,18,3.8236,1.0,13164.8,3443.0379746835442,1.0285,0.8500000000000001
DAIKIN Europe N.V.,EBLA14D(3)V3,30,18,5.5297,1.0,9822.779999999999,1776.3676148796496,0.7674046874999999,0.43854075492341354
DAIKIN Europe N.V.,EBLA14D(3)V3,25,18,8.16,1.0,5728.799999999999,702.0588235294117,0.4475624999999999,0.1733207720588235
DAIKIN Europe N.V.,EBLA14D(3)V3,20,18,7.999,1.0,3471.2999999999997,433.9667458432304,0.27119531249999995,0.10713554038004751
DAIKIN Europe N.V.,EBLA16D(3)V3,35,7,3.06,1.0,14000.0,4575.16339869281,1.0,1.0
DAIKIN Europe N.V.,EBLA16D(3)V3,30,7,4.41,1.0,10800.0,2448.9795918367345,0.7714285714285715,0.5352769679300292
DAIKIN Europe N.V.,EBLA16D(3)V3,25,7,6.56,1.0,6900.0,1051.829268292683,0.4928571428571429,0.2298998257839722
DAIKIN Europe N.V.,EBLA16D(3)V3,20,7,8.51,1.0,5900.0,693.3019976498238,0.42142857142857143,0.1515360080577472
DAIKIN Europe N.V.,EBLA16D(3)V3,35,18,3.7026,1.0,14398.999999999996,3888.8888888888882,1.0284999999999997,0.85
DAIKIN Europe N.V.,EBLA16D(3)V3,30,18,5.3361,1.0,10715.759999999998,2008.1632653061222,0.7654114285714284,0.4389271137026239
DAIKIN Europe N.V.,EBLA16D(3)V3,25,18,7.871999999999999,1.0,6375.599999999999,809.9085365853659,0.45539999999999997,0.17702286585365856
DAIKIN Europe N.V.,EBLA16D(3)V3,20,18,8.0845,1.0,3531.15,436.78025851938895,0.25222500000000003,0.09546768507638073
DAIKIN Europe N.V.,EBLA09D(3)V3,35,7,3.35,1.0,9400.0,2805.970149253731,1.0,1.0
DAIKIN Europe N.V.,EBLA09D(3)V3,30,7,4.69,1.0,7000.0,1492.5373134328356,0.7446808510638298,0.5319148936170213
DAIKIN Europe N.V.,EBLA09D(3)V3,25,7,6.7,1.0,4900.0,731.3432835820895,0.5212765957446809,0.26063829787234044
DAIKIN Europe N.V.,EBLA09D(3)V3,20,7,8.22,1.0,5700.0,693.4306569343065,0.6063829787234043,0.24712688305637523
DAIKIN Europe N.V.,EBLA09D(3)V3,35,18,4.0535,1.0,9667.899999999998,2385.0746268656712,1.0284999999999997,0.85
DAIKIN Europe N.V.,EBLA09D(3)V3,30,18,5.6749,1.0,6945.399999999999,1223.8805970149251,0.7388723404255317,0.4361702127659574
DAIKIN Europe N.V.,EBLA09D(3)V3,25,18,8.04,1.0,4527.599999999999,563.1343283582089,0.48165957446808505,0.20069148936170214
DAIKIN Europe N.V.,EBLA09D(3)V3,20,18,7.809,1.0,3411.45,436.8613138686131,0.36292021276595743,0.1556899363255164
DAIKIN Europe N.V.,EDLA09D(3)V3,35,7,3.35,1.0,9400.0,2805.970149253731,1.0,1.0
