Manufacturer,Model,T_outside [°C],T_out [°C],EER,Group,Pdc [W],P_el [W]
Viessmann,AWO-M-AC (AF) 101.A08,20,7,6.34,1.0,3020.0,476.34069400630915
Viessmann,AWO-M-AC (AF) 101.A12,35,7,3.05,1.0,8510.0,2790.16393442623
Viessmann,AWO-M-AC (AF) 101.A12,30,7,4.03,1.0,6280.0,1558.3126550868485
Viessmann,AWO-M-AC (AF) 101.A12,25,7,4.58,1.0,3980.0,868.9956331877729
Viessmann,AWO-M-AC (AF) 101.A12,20,7,6.08,1.0,4230.0,695.7236842105264
Viessmann,AWO-M-AC (AF) 101.A10,35,7,3.15,1.0,7530.0,2390.4761904761904
Viessmann,AWO-M-AC (AF) 101.A10,30,7,3.92,1.0,5490.0,1400.5102040816328
Viessmann,AWO-M-AC (AF) 101.A10,25,7,4.46,1.0,3560.0,798.2062780269058
Viessmann,AWO-M-AC (AF) 101.A10,20,7,6.07,1.0,4350.0,716.6392092257001
Viessmann,AWO-AC (AF) 101.A14,35,7,3.25,1.0,11480.0,3532.3076923076924
Viessmann,AWO-AC (AF) 101.A14,30,7,4.31,1.0,8470.0,1965.1972157772623
Viessmann,AWO-AC (AF) 101.A14,25,7,4.91,1.0,5410.0,1101.8329938900204
Viessmann,AWO-AC (AF) 101.A14,20,7,6.52,1.0,5530.0,848.159509202454
Viessmann,AWO-AC (AF) 101.A16,35,7,3.15,1.0,13800.0,4380.952380952381
Viessmann,AWO-AC (AF) 101.A16,30,7,4.36,1.0,10170.0,2332.5688073394494
Viessmann,AWO-AC (AF) 101.A16,25,7,5.3,1.0,6470.0,1220.754716981132
Viessmann,AWO-AC (AF) 101.A16,20,7,6.53,1.0,5530.0,846.8606431852986
