Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_h_ref [W],P_th_h_ref [W],COP_ref,P_el_c_ref [W],P_th_c_ref [W],p1_P_th,p2_P_th,p3_P_th,p4_P_th,p5_P_th,p6_P_th,p1_P_el_h,p2_P_el_h,p3_P_el_h,p4_P_el_h,p5_P_el_h,p6_P_el_h,p1_COP,p2_COP,p3_COP,p4_COP,p5_COP,p6_COP,MAPE_P_el_h,MAPE_COP,MAPE_P_th,p1_Pdc,p2_Pdc,p3_Pdc,p4_Pdc,p5_Pdc,p6_Pdc,p1_P_el_c,p2_P_el_c,p3_P_el_c,p4_P_el_c,p5_P_el_c,p6_P_el_c,p1_EER,p2_EER,p3_EER,p4_EER,p5_EER,p6_EER,MAPE_P_el_cooling,MAPE_EER,MAPE_Pdc
DAIKIN Europe ,EGSAH10D9W (1PH),2019-06-14,Brine/Water,Regulated,2.0,R32,1.7,41.0,,15,average,2365,7450,3.15,,,-8.216434182843077,-446.3064109307796,-8.215743839283524,483.8178374698482,-13.455790548161332,-8.215916298122957,14.53810185387923,196.26089029741087,16.08157474957639,-279.80873387809106,40.07755379534434,12.988716572031803,-31.68993919172965,16.021274436483058,-31.6899391197684,215.7238955416406,-110.48052123392604,-52.81243697716519,36.28185791421785,6.58897354355874,43.94264509705681,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,EGSAX06D9W(G) (1PH),2019-06-14,Brine/Water,Regulated,2.0,R32,1.7,,,15,average,1744,5460,3.13,,,-4.359257502705751,-528.3309673053075,-4.35919302359016,545.8081523649693,-4.7990938792709,-4.359266021946724,15.5091002124235,112.94367821663896,16.147213563650563,-203.6727482582721,43.1477413353574,16.147193089181208,-6.7684103637378215,-77.44563959235154,-22.06426418740645,206.83419340387752,-65.05826385980298,-29.92582230670275,27.487022609904653,8.801358020292483,37.00664577223313,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,EGSQH10S18A9W,2017-02-17,Brine/Water,Regulated,2.0,R410a,1.8,46.0,,20,average,2667,7760,2.91,,,-9.064216231411091,189.88605467780684,-9.064216335506512,-145.89342987749757,-17.10622788515823,-9.064216231411091,0.5390975197027845,-199.87712879058023,31.99982489349721,135.60048622193796,31.32551735931837,0.5390974091775723,51.16637046941417,-222.2023297410645,51.93652590477059,-15.507519862361256,92.32968120340936,51.93652591784613,32.148235374586875,2.7651942828888494,33.598338199783186,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,EPGA11DV / EABH16D6V,2019-03-06,Outdoor Air/Water,Regulated,1.0,R32,3.5,44.0,64.0,21,average,5111,11500,2.25,,,-818.249473338861,979.227249620436,536.0825824761848,-436.1606537174925,-238.38005643219705,-26.398761987275428,-1409.3391428570344,1567.0537252743793,1049.5438221775405,-697.8998554472046,-380.6845362395532,-135.65072975679806,23498.721960936386,-25041.615779279524,-18627.09734301696,10009.05807701058,6599.3939368658375,3688.3049803180106,3.507955438226732,1.3029673106013115,4.66075677436091,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,EPGA14DV / EABH16D6V,2019-03-06,Outdoor Air/Water,Regulated,1.0,R32,3.5,44.0,64.0,21,average,5668,12300,2.17,,,862.4766673556854,-796.8677128312919,-814.2741966194872,329.1277083182536,206.3837064017201,217.32023169106608,152.3942712555183,-56.730396004464446,-234.2231815978035,-0.6580631856098331,26.85247209000811,112.78236516979084,23226.292358959377,-24962.217994721592,-18178.2218684223,9913.441247377708,6606.2115609573975,3521.5601514227974,7.799324561163653,1.5180581507469086,7.625764116776542,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,EPGA16DV / EABH16D6V,2019-03-06,Outdoor Air/Water,Regulated,1.0,R32,3.5,44.0,66.0,21,average,5874,13100,2.23,,,1340.4534587070823,-1303.3059810042462,-1196.5607693311017,550.3516960277834,331.84170925659134,283.67402214837387,494.3913768361853,-427.4785476818441,-498.3633588178012,155.66895456450922,121.1589300445356,156.75893656390735,16092.912943531484,-17117.02830819661,-12798.457480179655,6725.85681437128,4558.334529507944,2628.1885256830287,5.974886127441644,1.3797529013990717,5.064782275337465,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,EPRA14DV / ETBH16D6V,2020-02-07,Outdoor Air/Water,Regulated,1.0,R32,4.2,44.0,54.0,21,average,4534,11200,2.47,,,-39.05344446312764,227.56044609762623,-170.9681732180497,-77.2804566984059,-65.7299339338807,124.8448589881165,-629.8883771428551,830.3439022725943,326.974903088148,-349.5934868462804,-210.15503846575567,28.584944971899898,16864.441387512645,-18195.109091266328,-13118.849986147983,7214.491092670413,4819.181359014068,2510.0807096716444,4.001685476667396,0.5538852456179704,2.600870335419704,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,EPRA14DW / ETBH16D6V,2020-02-07,Outdoor Air/Water,Regulated,1.0,R32,4.2,44.0,54.0,42,average,4568,11100,2.43,,,35.91298942303622,58.93906321215585,-128.957938938835,-30.498119236498145,-12.420525194785284,77.46734916072363,661.1939802545426,-556.3917668562328,-684.0484558911672,221.3186054609412,148.55568312206782,212.16498106627068,-7343.683647047856,7334.209292422913,6386.391122759167,-3424.906433790816,-1730.2079394961074,-1245.9663322300564,6.396448052774272,0.8668319617843598,3.279774195919461,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERGA04DV / EHSH(B)04P30D2,2018-08-17,Outdoor Air/Water,Regulated,1.0,R32,1.5,39.0,58.0,10,average,2690,5300,1.97,,,664.764747996863,-515.7076482085962,-734.665269369343,217.33136215405304,131.0487559037908,240.34648540660933,-738.2326624821826,912.8315889200098,450.0077789149489,-409.6278337565597,-219.99347803568844,1.0386447670826964,16215.73748224817,-17426.670886992026,-12690.155129724584,6866.310668440245,4631.894805686449,2494.2585113966707,3.701747503155609,0.8225560250980144,1.1860286234991422,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERGA04DV7 / EHBH04D6V,2020-04-09,Outdoor Air/Water,Regulated,1.0,R32,1.5,,,10,average,2690,5300,1.97,,,-208.99727428508035,442.469750140875,-68.26115354582168,-168.5028135175186,-121.29365820500438,123.35924114120098,-626.6632019289706,799.2641628852535,355.5310273738704,-360.614497610444,-191.59624788762267,20.6151872417507,4676.373671938038,-5312.225150822856,-3314.4923952994504,1791.6600659792518,1532.46860005404,662.6370660801657,4.023020400695499,0.5554845576587168,0.3295039006562072,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERGA04DV7 / EHSX04P50D,2020-04-09,Outdoor Air/Water,Regulated,1.0,R32,1.5,39.0,58.0,10,average,2690,5300,1.97,,,-36.573522211774446,263.7271653749998,-210.5716723973475,-93.28155786901404,-75.77727648162931,152.079743292801,-557.7715442082658,728.6545637975992,297.78940241976784,-330.53349621619714,-173.77952401724755,32.50257631640037,4676.373671938038,-5312.225150822856,-3314.4923952994504,1791.6600659792518,1532.46860005404,662.6370660801657,4.0112455768791735,0.5554845576587168,0.2404004146191646,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERGA06DV / EHBH08D6V,2017-11-22,Outdoor Air/Water,Regulated,1.0,R32,1.5,42.0,60.0,10,average,2980,5900,1.98,,,192.6841187252648,-63.558361560603714,-302.4581423446166,24.50902482691117,17.04637018677342,132.8252131838137,-638.326598596874,785.4917065531515,394.4588203885885,-357.5374068024481,-186.8865922640717,-0.5666450108918921,16738.525633259214,-17994.467868777883,-13094.20548041874,7094.368748222912,4781.457126020258,2568.353079715212,1.862177564981761,1.885548382753016,2.644498624609854,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERGA06EVA / EHVH08SU18E6V,2018-03-27,Outdoor Air/Water,Regulated,1.0,R32,1.5,42.0,60.0,10,average,2980,5900,1.98,1551.829268292683,5090.0,1550.9782959537797,-1410.6998704091502,-1489.5980205872784,609.2147115045263,351.79323801754487,395.6385877451556,319.4885618079579,-148.90505092762623,-459.8883069104047,60.249952137595486,39.97199684653745,189.95945926716263,25922.74330499456,-27914.82935256833,-20227.423013180603,11100.747660726458,7381.239231279454,3879.082165970855,3.494439430827364,1.5059428995243906,4.999801955527461,31026.082565853605,0.0312997588887621,-6156.074318481556,0.0005943650628877,246.242242377886,0.000266886048864,-30957.784297588627,-0.2029441927875945,6142.90258852387,-0.0008784997549631,-245.71540278894292,0.0047648584198627,-30942.04025730677,-0.6446436363729562,6143.276706271811,-0.0062109090929878,-245.7198623114808,0.0055019999978799,2940.1002774958,5.531332025238163,3582.048429692981
DAIKIN Europe ,ERGA06EVA / EHVH08SU23E6V,2018-03-27,Outdoor Air/Water,Regulated,1.0,R32,1.5,42.0,60.0,10,average,3520,6900,1.96,,,186.73184444257063,14.317362518968991,-379.12364283942463,2.9585748674533567,-7.499279761664187,183.10022439215035,-575.0886853937083,758.3346750227884,299.18695710795254,-339.6951420963153,-182.7561458429495,36.69040964015149,24410.59177719298,-26237.44641343896,-19105.20402670825,10434.893748384353,6936.753973183612,3693.797494486456,2.4026945553640053,1.6030536608451262,4.245195324735357,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERGA08DVA / EHBH08D6V,2018-03-02,Outdoor Air/Water,Regulated,1.0,R32,1.5,42.0,62.0,10,average,2980,5900,1.98,,,1550.9782959537797,-1410.6998704091502,-1489.5980205872784,609.2147115045263,351.79323801754487,395.6385877451556,351.37970999785443,-183.79561358539056,-484.1462540793968,74.5794134951256,49.01278507015265,194.01140623741924,24981.243755610456,-26884.45109805675,-19511.65106601428,10677.662505725038,7114.211393503461,3759.675562677714,3.497539494818204,1.4372765142718322,4.999801955527461,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERLA03DV / EHFH03S18D3V,2020-03-27,Outdoor Air/Water,Regulated,1.0,R32,1.0,,,11,average,1448,3200,2.21,,,11.442826256352792,164.3087783789819,-195.1467274618189,-80.19539522856233,-37.39008182750217,137.05825778348674,-516.633994440744,685.6633877781553,265.8496390224606,-311.0159691169621,-163.65454324945378,36.90592071763308,18801.17047705058,-20135.942021690284,-14785.715042246888,7888.059783754289,5373.035393154226,2964.511998184947,3.506799203874461,1.43417876262321,7.192528331607763,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERLQ011C*V3 / EHSH16P50B,2017-03-30,Outdoor Air/Water,Regulated,1.0,R410a,3.4,39.0,64.0,50,average,4639,9000,1.94,,,630.2682801413974,-554.9949491256137,-620.018855335983,189.72609826264224,159.9893757011413,198.81402266544845,-1800.5853178075736,2031.6973186578057,1309.5458946341312,-883.7285744265839,-503.9201057361282,-162.02146026681064,39808.315626466654,-42622.10469728724,-31347.68736232052,17167.240690224837,11181.85699619108,6022.609536508577,1.9384287591112128,0.7640755764003643,1.1415800162861185,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERLQ014C*V3 / EHSH16P50B,2017-03-30,Outdoor Air/Water,Regulated,1.0,R410a,3.4,39.0,64.0,50,average,5677,10900,1.92,,,-2932.476731182555,3211.521528971381,2240.885743325864,-1359.7879940025175,-814.8373204935942,-359.2695908073075,-1969.350345052345,2185.1429499587434,1473.9492286511768,-956.4567150016984,-539.5104443121932,-203.4087383885458,-1857.7266757303448,2106.848683503599,1318.7764949960224,-1061.482033863775,-468.0213211277865,-40.99172567996885,2.550386005457489,2.729233523086191,6.003084665092359,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERLQ016C*V3 / EHSH16P50B,2017-03-21,Outdoor Air/Water,Regulated,1.0,R410a,3.4,39.0,66.0,50,average,6811,12600,1.85,,,-276.0235610222881,365.3438619263629,151.63762323156482,-184.35074066729536,-80.08443324332148,22.845919653671785,-1532.2063301203395,1750.2076679875088,1093.9771425767065,-762.1108409199513,-433.843702761044,-123.69132732749496,39304.15404954157,-41935.54088203963,-31130.12411814509,16923.941048417477,10988.979911836426,6054.518253839865,6.4812278152555605,2.0856244644862505,7.147938363315818,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERLQ016CW1 / EHBH16CB *,2017-03-31,Outdoor Air/Water,Regulated,1.0,R410a,3.4,44.0,66.0,55,average,6854,12200,1.78,,,-323.6059530620952,422.6927333284772,182.75153518952635,-206.1807853563568,-95.88074602650488,19.372914290913616,-1625.5770243141235,1849.222692093074,1168.5001927055464,-804.1570276419196,-458.88757674143176,-137.22889887753814,41043.19382785631,-43854.538022074215,-32431.542226968144,17700.74713126334,11490.536676024509,6266.847711076151,6.343575008412761,2.2267738261557724,7.145905389379449,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERRQ011AV1 / EKHBRD011ADV17,2018-06-12,Outdoor Air/Water,Regulated,1.0,R410a,4.5,,,55,average,4160,9360,2.25,,,6239.620545037446,-6673.665762450455,-4907.399662384744,2689.5786653615046,1750.7938396636994,934.017233192772,2964.28899208824,-3087.400440200846,-2413.7987535061384,1233.5053404400144,814.2069377544688,504.9340943486711,-499.1128504519346,850.2487350937812,3.856493147737565,-284.6170668102623,-247.0676450872154,174.50320150961355,1.682170683471638,2.56621563275208,2.015846441802014,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERRQ014AV1 / EKHBRD014ADV17,2018-06-12,Outdoor Air/Water,Regulated,1.0,R410a,4.5,,,55,average,5302,11400,2.15,,,5767.11561173407,-6141.9575680412,-4564.514080725628,2488.8918679799085,1605.613384030366,875.0021199016933,1597.8192863348115,-1688.3098756562858,-1269.1312588971305,634.7647292110574,462.94283376842895,270.9954152835504,1839.7534315759333,-1439.152324098494,-2074.690131338591,749.6647250831659,304.0090363941615,628.5248706315019,4.616833543428247,2.9854031939720533,3.2415739735328626,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,ERRQ016AV1 / EKHBRD016ADV17,2018-06-12,Outdoor Air/Water,Regulated,1.0,R410a,4.5,,,55,average,5735,12100,2.11,,,4940.982226780359,-5277.476004923491,-3891.732671678417,2143.3379648142973,1377.5148659882311,733.3858431739782,1489.835057421462,-1573.3858803367775,-1183.7623610736216,594.594690684254,430.2052383205773,250.96487630465288,-1407.6693974174912,1974.0871213400328,552.3399901615053,-645.1982148967055,-583.5947442084962,102.10502199806974,5.777396310018387,3.893687085415955,2.98090207955541,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,EVLQ05CV3 / EHYHBH05AV32 +,2019-04-12,Outdoor Air/Water,Regulated,1.0,R410a,1.5,,,13,average,1387,3300,2.38,,,-5014.300868854612,5706.345657564249,3576.621554275648,-2294.2064805201803,-1500.619689587427,-500.3304168073475,778.2875309176331,-426.6475754995295,-1059.041966246122,271.0952394592183,69.00570107310804,368.9281860696409,-1779.0250873360962,1554.4977204880038,1793.9555800422656,-1196.0412023814176,-168.06008968108668,-201.82248865301185,7.078111791773442,0.7063196351142335,5.281667021570905,,,,,,,,,,,,,,,,,,,,,
DAIKIN Europe ,EVLQ08CV3 / EHYHBH08AV32 +,2019-04-12,Outdoor Air/Water,Regulated,1.0,R410a,1.6,42.0,62.0,13,average,2395,5700,2.38,,,-2988.374018982676,3439.786857236084,2094.6232177367165,-1383.0755262463397,-904.779702816848,-273.808680732933,1463.6177274087504,-1207.314649147761,-1544.5127585800103,575.2150197684095,278.4485220100003,439.9982309650918,1509.123824889136,-2070.461032377076,-675.2065264671126,325.03486425585555,757.578907748234,174.1014224651582,3.612861168514124,0.7966069481096762,2.9532381359919584,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP G08.2 INOX,2020-07-27,Outdoor Air/Water,Regulated,1.0,R410a,4.27,,55.0,24,average,3296,8140,2.47,,,155.634272865985,0.6380031688262235,-300.77518777174885,-7.406233167574616,2.968858070443835,149.6479432205935,72.12980048302991,40.77337732441024,-183.0848235035276,-48.65854033698589,4.773197505768659,114.17568628522564,21.774662660580503,-201.52170642512064,193.9887724803189,-262.710177134418,191.42206637911767,68.53873824822827,3.7601754858642007,3.3305741306172747,3.874608773127141,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP G14.2 INOX / INOX OPTIC,2019-06-26,Outdoor Air/Water,Regulated,1.0,R410a,4.27,,57.0,24,average,4215,11000,2.61,,,147.67718410846672,-51.55164556127092,-225.5018941869402,20.34798995642769,13.886140450268586,96.02972109196224,142.80052966668063,-38.18659884321951,-233.9539275510622,-2.359080165555454,19.03765925580452,113.10239435178448,-241.10014292807296,-24.37959115549992,520.0935068180736,-400.9911032004358,175.66949727148742,-18.59034665857999,8.1058681984495,5.239633239149648,6.642468417023455,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP S05.2,2020-07-28,Outdoor Air/Water,Regulated,1.0,R410a,4.0,,,35,average,1900,4200,2.21,,,442.37614823622846,-357.2377621254641,-472.7129041840493,156.56838803520768,88.47783957945703,144.89418254523622,178.42815716047542,-153.96340030244764,-179.22751534245333,24.538238034210032,58.6521971760689,72.62779584200261,359.26926631339126,-436.2806384246572,-209.1951403380232,72.91226572501377,148.3746306483846,74.96405193368723,19.76710613915336,8.989687465364856,14.373330546771053,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP S07.2,2020-07-28,Outdoor Air/Water,Regulated,1.0,R410a,4.0,44.0,,35,average,2573,6560,2.55,,,302.6586452897869,-294.0421607793774,-263.90832606447674,124.63794626572992,74.91029377015434,57.762261113423584,262.64384356375086,-242.1222075925833,-245.7863642054452,73.76695880425369,75.67562208151543,77.21176790177134,-144.7964543186532,-201.0998651907404,531.9446984740504,-351.3011391153366,230.11828345766813,-52.72510051830892,19.21840764047254,3.3103412138597705,16.90270859674908,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP S09.2,2020-07-28,Outdoor Air/Water,Regulated,1.0,R410a,4.0,45.0,,35,average,3237,7250,2.24,,,320.3783197965278,-332.3440287464886,-257.00093515050247,149.84143479802464,80.96297205824789,40.22902461746289,268.34766485763487,-239.08136124035,-260.27724114656894,74.1109287770556,74.2995249297284,83.92558648648328,-127.03276388454198,-216.35277982622864,505.0068596875842,-329.4887035748635,227.887284737457,-48.38828254782744,24.14442995065856,5.082352108623069,21.04273415511209,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP S12.2,2019-12-17,Outdoor Air/Water,Regulated,1.0,R410a,4.4,49.0,51.0,28,average,4873,11160,2.29,,,-477.7281996588128,648.0152433191831,235.578033048192,-268.0545522562315,-167.43273832220424,27.360158163529533,-279.6366603868488,406.2799684903895,107.6879993714944,-193.4663349276356,-92.39230854776127,49.92882428194335,7782.204609642601,-8418.685513677048,-6016.778774282844,3121.9289682058743,2316.42223916655,1264.6454772438287,6.5119208878664745,1.7692874819256643,6.323863892841162,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP S15.2,2019-12-17,Outdoor Air/Water,Regulated,1.0,R410a,4.4,49.0,51.0,28,average,5733,13300,2.32,,,-194.162930893322,300.67007564269267,61.48326231500683,-124.76157268462624,-77.61401023780866,33.74584496135238,-463.9372218797645,593.6217613619489,265.23458543361875,-268.1555865753663,-142.11679375818795,12.930793571552966,19570.01531020037,-20968.708697447688,-15388.267981708806,8358.80957680806,5534.753731080175,3000.8027214291565,7.218060075962063,2.749392493020068,4.763843554619987,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP T20,2019-05-04,Outdoor Air/Water,On-Off,4.0,R407c,6.0,59.0,58.0,10,average,6437,12810,1.99,,,66.28078274536037,33.86252936251555,-175.66682839517082,-3.0222792932271108,-14.671457835767209,94.59479580432247,274.5061936561156,-50.73653277320684,-496.785010141517,103.4989357734864,-21.396940767432724,190.81290666349105,-558.1521265915017,111.51307140913688,1000.4137094884488,-291.9064340610532,71.34115921494546,-326.37935919673333,8.151841245945647,8.163642420716824,4.562725866750456,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP T20R,2019-05-04,Outdoor Air/Water,On-Off,4.0,R407c,6.0,59.0,66.0,10,average,6437,12810,1.99,,,66.28078274536037,33.86252936251555,-175.66682839517082,-3.0222792932271108,-14.671457835767209,94.59479580432247,276.96175429632376,-53.69918994086833,-498.2639914551477,101.6726180244763,-19.314853119473547,192.5864529906839,-571.460923767122,127.5179681330206,1008.4911324469256,-282.1192483060854,60.12769218521723,-335.95947889501355,7.992701202553311,8.4280178059198,4.562725866750456,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP T26,2019-05-04,Outdoor Air/Water,On-Off,4.0,R407c,7.4,59.0,70.0,10,average,9325,18650,2.0,,,132.23728461132197,-9.50164911909144,-260.01123123979335,9.03497252798871,-0.2499275727736396,129.83452204413808,206.9757076020745,27.348853837351548,-450.6334495171712,82.96286152310088,-46.33334628058712,178.93763853952214,-283.4663063874873,-163.32839700206176,762.3951578157485,-330.0601014370292,207.7468637035093,-183.55328864831333,10.55755920320035,9.998529682692377,4.914327126271969,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP T32,2019-05-04,Outdoor Air/Water,On-Off,4.0,R407c,9.2,63.0,67.0,10,average,11418,22950,2.01,,,152.78659826513027,-11.487626479798331,-299.2314263122966,14.104750636814632,-1.5055505042028203,146.61007049064116,221.9553397141385,28.43434713677611,-482.6027409063949,83.3180219115545,-46.73846672122816,194.7836343810808,-367.3272938798103,-185.00739578230656,957.5273579024416,-343.1920294004489,221.8375106334404,-273.32080416080714,10.57738380300184,10.615743836694415,4.628165237453533,,,,,,,,,,,,,,,,,,,,,
ELCO,AEROTOP T35,2019-05-04,Outdoor Air/Water,On-Off,4.0,R407c,9.2,68.0,70.0,10,average,11618,24630,2.12,,,67.5363322494013,16.11332337899843,-158.92383410885856,-1.744838032564651,-6.828533419686147,85.10153280856916,123.52536958556684,83.75443950460392,-348.0033712687979,36.24292892500854,-50.75149809258426,154.45143494111124,-212.71858112057868,-280.0073625081656,757.2210891294512,-157.86536743779268,183.5845322668949,-280.71765143045343,9.245881518727622,7.58618083659004,3.7987698768662734,,,,,,,,,,,,,,,,,,,,,
ELCO,AQUATOP S06,2019-05-04,Brine/Water and Water/Water,On-Off,,R410a,1.9,39.0,,20,average,1918,5350,2.79,,,-52.42865045827857,74.17824705776808,22.24617609442604,-20.63695850111013,-23.632932831513976,0.9319725738655368,-0.7878334822562096,2.4275216905795363,-5.593124741559782,-7.772904175440024,4.5317391828990345,7.32050438497955,28.646832322482386,-155.908584024549,160.93886041266384,-31.48054605153624,69.31070012163967,-61.94358369939964,2.531181598049125,1.3319351607927306,2.154087135017201,,,,,,,,,,,,,,,,,,,,,
ELCO,AQUATOP S08,2019-05-04,Brine/Water and Water/Water,Regulated,,R410a,2.3,34.0,,20,average,2518,7580,3.01,,,-13.904411112605665,51.1090274062191,-27.485566282507328,3.981125422966973,-24.6710851957919,11.76759829033809,24.25465319489519,-62.227263821751954,20.387340623426702,-3.38047744847395,30.20715262848876,-8.350224125955547,-1.8359134757148925,313.17972871076535,-324.5013542231422,62.3126413802036,-173.77865894219977,128.59197786242305,1.3881271559060069,3.67648841371286,1.8650682757397807,,,,,,,,,,,,,,,,,,,,,
ELCO,AQUATOP S11,2019-05-04,Brine/Water and Water/Water,On-Off,,R410a,2.9,38.0,,20,average,3202,9990,3.12,,,2.4289546354148146,-1.4614881688003942,0.3269684469008453,0.0073926619914338,0.10184787408448,-0.1690116050284475,32.61664614008965,-55.531666724871,-4.76580152085814,3.558327885302074,24.45209969259751,0.3725301630045576,32.37366224681006,-27.05340872893317,4.067688806513645,-0.8431817114867878,1.0191059461095917,-1.5568289766288814,0.4512409312113317,0.0275811648352983,0.0165258402301434,,,,,,,,,,,,,,,,,,,,,
ELCO,AQUATOP S14,2019-05-04,Brine/Water and Water/Water,On-Off,,R410a,3.4,42.0,,20,average,4036,12270,3.04,,,-10.387113771883325,46.78457281525541,-29.4611451310291,2.3218677867028705,-22.08467432941744,13.683880280220189,21.875581209297827,-53.07396870869934,14.151291431654702,-5.661039841885134,27.33432623876926,-3.843277175963564,41.63352158096108,211.01237445701776,-289.997582702417,76.18831709817631,-136.3878992141494,102.76120789613314,1.1184624210689875,3.146889228034237,1.6075755259981626,,,,,,,,,,,,,,,,,,,,,
ELCO,AQUATOP S17,2019-05-04,Brine/Water and Water/Water,On-Off,,R410a,3.8,45.0,,20,average,5154,15720,3.05,,,-14.556353344687796,56.5374138693747,-32.68350033131505,0.8707404020027454,-25.60723446024533,16.184489872024102,-1.3712188993890515,-39.42537002322072,44.24655663652951,-14.269512295315382,25.264095191650288,-13.753413999123612,202.71805748325545,149.80893541385015,-537.7119525563683,135.29462218717077,-136.0677293263326,191.4062064323695,1.584242857568784,3.2680269397359614,1.8870649349988533,,,,,,,,,,,,,,,,,,,,,
ELCO,AQUATOP T22H,2019-05-04,Brine/Water and Water/Water,On-Off,,R407c,4.1,54.0,,10,average,6649,21010,3.16,,,-32.908080194268486,76.97812182598473,-20.751769029223155,-12.708291527031207,-28.18569235249977,18.088728171675484,20.07010274841744,-48.06232824371352,11.777131626404008,-4.513368613864205,24.77791919597202,-3.384074910027636,-42.08903987203168,303.7991589362418,-233.12700490105823,-13.886455593278168,-136.80616685470534,127.14175799910576,0.4887479837165073,3.038396301120988,2.5938887139010736,,,,,,,,,,,,,,,,,,,,,
ELCO,AQUATOP T28H,2019-05-04,Brine/Water and Water/Water,On-Off,,R407c,5.7,59.0,,10,average,8687,25540,2.94,,,0.3688092024680597,0.5842571331935016,3.257475073919723,-1.4015915756086603,-0.5686794339998436,-0.8513302372268299,34.56237636360561,-80.06929475974042,20.85281173669118,1.1987370061280225,35.89939380321023,-11.410588991868964,-3.172522015067297,197.02118176585253,-187.4811255790702,-0.3513832243313038,-96.26052030274144,95.90247754668108,2.177652526088335,2.5171297810333906,0.2046798184950962,,,,,,,,,,,,,,,,,,,,,
ELCO,AQUATOP T35H,2019-05-04,Brine/Water and Water/Water,On-Off,,R407c,6.2,61.0,,10,average,10930,35740,3.27,,,-25.700534310409445,60.1625410353649,-15.228269894747797,-10.269646838191049,-22.08563071420423,13.828022526010724,36.9649842138775,-85.66418826888048,22.714790873332937,2.243682513160026,37.82028401268659,-12.980313957867676,-150.82751913094137,563.6725603392078,-321.6690807261262,-44.248426359279385,-234.8618865051628,190.266784005651,2.491291726112596,4.78114439604472,2.008226622740578,,,,,,,,,,,,,,,,,,,,,
ELCO,AQUATOP T43H,2019-05-04,Brine/Water and Water/Water,On-Off,,R407c,7.4,61.0,,10,average,12586,42540,3.38,,,-21.180495581102463,49.78715935058685,-11.969115135575072,-8.726441916133815,-18.33800713975273,11.252209861856867,45.564781557009816,-104.9439989418096,28.44072462627904,5.815667990167576,44.46292436468627,-18.019993646153296,-199.14218822913307,686.8867985242881,-369.3562278404251,-58.72320956596917,-281.5655127992179,223.11319207318863,3.5131227333017603,5.520969961228381,1.6582135552788215,,,,,,,,,,,,,,,,,,,,,
Ecoforest Geotermia ,ECOAIR 1-7 PRO,2020-11-17,Outdoor Air/Water,Regulated,1.0,R290,0.75,,55.0,8,average,1570,3470,2.21,,,72.59158573974331,-117.60329312397394,-8.151339436008294,51.76697340876178,29.95850541861976,-27.594550035772265,111.82894878909696,-195.6223242744545,-0.1975597317014157,31.51605660068884,73.93974872211898,-20.17908347949585,-160.73040385625876,317.563522603407,-32.00939511853622,-106.64740803562806,-100.88215165122035,87.10388929341232,29.3062611881684,7.226779020208423,18.687417389777583,,,,,,,,,,,,,,,,,,,,,
