Manufacturer,Model,Date,Type,Subtype,Group,Refrigerant,Mass of Refrigerant [kg],SPL indoor [dBA],SPL outdoor [dBA],PSB [W],Climate,P_el_h_ref [W],P_th_h_ref [W],COP_ref,P_el_c_ref [W],P_th_c_ref [W],p1_P_th,p2_P_th,p3_P_th,p4_P_th,p5_P_th,p6_P_th,p1_P_el_h,p2_P_el_h,p3_P_el_h,p4_P_el_h,p5_P_el_h,p6_P_el_h,p1_COP,p2_COP,p3_COP,p4_COP,p5_COP,p6_COP,MAPE_P_el_h,MAPE_COP,MAPE_P_th,p1_Pdc,p2_Pdc,p3_Pdc,p4_Pdc,p5_Pdc,p6_Pdc,p1_P_el_c,p2_P_el_c,p3_P_el_c,p4_P_el_c,p5_P_el_c,p6_P_el_c,p1_EER,p2_EER,p3_EER,p4_EER,p5_EER,p6_EER,MAPE_P_el_cooling,MAPE_EER,MAPE_Pdc
Airwell Residential,AW-YHPS08-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.65,39.0,63.0,15,average,3300,6700,2.03,,,-28.07557133236117,42.435681854449896,23.70870719091008,-13.600941027318983,-13.15980533303347,-10.651692778550556,-652.7267637428649,778.2488182098687,432.9389551799047,-354.67845678566925,-185.0590038644706,-22.031442741283644,40428.70975527426,-44057.90949176116,-30940.912891669595,17690.115356657665,11579.69318474857,5519.433113068364,2.70983006694052,2.993426220253946,3.833878005095814,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,AW-YHPS10-H91 + AW-WHPST0410-N91,2020-04-22,Outdoor Air/Water,Regulated,1.0,R32,1.65,39.0,65.0,15,average,3342,7520,2.25,,,453.525825098361,-489.32344978949817,-336.3130967561961,206.8744110560756,123.53161511364966,44.92993071615626,-212.35035755497992,315.7016103893402,77.59647608238804,-150.26156127337498,-71.77785664824201,39.9541836753721,56319.21013631274,-60720.12400509961,-43855.15860015522,24524.914563115846,15901.55130237607,8127.164506989858,1.920293848705858,3.901024724831508,0.6229408881749063,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC BT MB 10KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,67.0,17,average,5026,9700,1.93,,,-736.722788793755,860.65589714134,507.7299796047857,-333.28894276364383,-231.10450578617247,-71.04903721682875,-291.8158713436392,398.0949084614712,139.49849090652253,-198.61652118245897,-86.14494113250498,37.33622833601346,-20180.461970350698,20916.69236190736,16667.751291804027,-8763.241377737564,-5352.923826792605,-3378.726322736384,2.144862683864783,8.914591997474353,3.3343814318771337,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC BT MB 12KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,,17,average,5026,9700,1.93,,,-806.4894844061644,953.6449287241728,549.9960335504982,-366.39472569392166,-258.8926049813945,-75.61349007387285,-607.5647753958021,761.2722634112951,363.249741721927,-338.14858875388893,-185.06207246301224,3.01856730567814,11175.616178559538,-12537.120167194227,-8145.796419984336,4895.271857519094,3348.647519808452,1331.6360828070276,2.41314981979156,6.0278627320357545,2.429775756986832,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC BT MB 12KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,70.0,27,average,4922,9500,1.93,,,1572.9816957797211,-1608.768706614002,-1308.083151149689,668.8214783929016,412.7170014406565,270.7608038893419,-869.850741737464,1023.7109729667692,590.4811373630021,-454.8153520403295,-249.2206744176556,-44.68652462008578,61338.76842887572,-65762.7778076517,-48192.43057479608,26753.82681019709,17141.89601004553,9039.412883282144,3.763986337084095,5.9048735548451,3.676368265108175,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC BT MB 14KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,,17,average,5707,11700,2.05,,,796.5198655714465,-806.041745200956,-664.1481177575437,337.655662161719,205.47427446271445,135.15020163596768,-70.53818461504544,181.33401091398235,-53.232036559229,-94.44969696551992,-37.30337417653328,73.6896857601069,45327.58228175204,-48628.861948516766,-35576.82716063049,19672.49444328647,12721.925135551926,6721.843215090748,4.944082621169453,4.800613438246874,3.118631771775493,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC BT MB 14KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,73.0,27,average,5743,11600,2.02,,,2098.4500188091342,-2179.918520220197,-1714.8414976453687,906.5519446972546,559.9115195465683,340.73846403730755,221.2024628967253,-121.29809200302748,-294.9292703262555,31.756297779285152,40.45048810814888,123.6683810544445,52338.77446813399,-56200.81899221447,-41029.0259632746,22793.210837032384,14679.90405930757,7691.542992305467,5.652406374970452,5.274760799255019,2.9092354024669684,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC BT MB 16KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,,17,average,6089,12300,2.02,,,298.5972502402562,-360.2555010715202,-172.31035546969022,136.41736135522024,97.56936315057708,2.797203352398044,-521.0486242423635,620.9797022684514,350.047371700419,-286.57153065603995,-146.29787540944628,-19.52315010984473,40409.43593200731,-43622.390746901576,-31410.530602822408,17662.293081456683,11404.973760348155,5770.35302974363,5.038798776246354,5.211126543437402,0.6478195404252293,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC BT MB 16KW H13,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,3.6,,73.0,27,average,5879,11700,1.99,,,252.3874560024791,-309.86932412130216,-139.62878302363822,106.96042795303742,88.688632277728,4.000189866330805,-510.5037149616123,605.9808853124989,344.8927294072843,-282.1838963572871,-141.4811125612133,-19.0817476436412,41107.321557644704,-44092.91101898775,-32279.803908651487,17844.09170404061,11532.438355064256,6105.004416011862,7.214352330919495,5.229902003102658,3.4645672408796555,,,,,,,,,,,,,,,,,,,,,
Airwell Residential,PAC BT MB 5KW H11,2018-07-30,Outdoor Air/Water,Regulated,1.0,R410a,2.4,,64.0,16,average,2950,5900,2.0,,,2535.613436779776,-2691.374627801424,-2021.1811594323508,1109.1083228306811,697.8086399438101,382.6677429294041,230.0400267334473,-217.036829631478,-212.72004717976773,38.38787555494935,80.95527066028168,81.46711415303255,42396.21250099293,-45796.946620923474,-32913.62708934485,18432.17082838932,12019.922597588898,6088.494143497283,2.1513662390005925,5.448222447172832,4.257782437157437,,,,,,,,,,,,,,,,,,,,,
